bangla	english
প্রোব	probe
প্রোপেন	propane
প্রোভাইডার	provider
পিউবার্টি	puberty
রেডিং	reading
রিডিং	reading
রেফারেন্ডাম	referendum
রিফ্লাক্স	reflux
রেজিমেন্ট	regiment
রেজিমেন্টাল	regimental
রেপ্লিকা	replica
রেট্রোভাইরাস	retrovirus
রিভিউ	review
রিক্টার	richter
রিডেম্পশন	redemption
রোস্টার	roster
রোটর	rotor
স্কোর	score
স্কোরবোর্ড	scoreboard
স্কোরকার্ড	scorecard
স্ক্রিম	scream
স্কুইড	squid
স্কার্ট	skirt
স্লেভ	slave
স্লিট	sleet
স্মার্টকার্ড	smartcard
সাউন্ডট্রাক	soundtrack
স্পিরিট	spirit
স্প্লিন	spleen
স্পোক	spoke
স্পন্সরশিপ	sponsorship
স্পুফ	spoof
স্পুটনিক	sputnik
স্টাফ	staff
স্টারডাস্ট	stardust
স্টার্ক	stark
স্টার্লিং	starling
স্টার্লিং	sterling
স্টিমশিপ	steamship
স্টেক	steak
স্টাইন	stein
স্টেলা	stella
স্টেনসিল	stencil
স্টিভেন	steven
স্টক	stock
স্টোরিবোর্ড	storyboard
স্ট্রাইক	strike
স্ট্রিমলাইন	streamline
স্ট্রিমলাইনড	streamlined
সাবইউনিট	subunit
সাবরুটিন	subroutine
সাবস্ক্রিপশন	subscription
সান্ডারল্যান্ড	sunderland
সার্ফিং	surfing
সুইমিং	swimming
টেক্সাস	texas
টেক্সট	text
টিফিন	tiffin
টিল্ডা	tilde
ট্রাফিক	traffic
ট্রান্সপন্ডার	transponder
ট্রান্সপারেন্সি	transparency
ট্রানজিশন	transition
ট্রেডিং	trading
ট্রেন্ড	trend
ট্রেন্ডি	trendy
ট্রিমার	trimmer
ট্রপিক	tropic
ট্রাউজার	trouser
ট্রাউট	trout
টুথব্রাশ	toothbrush
টুথপেস্ট	toothpaste
ট্যুরিস্ট	tourist
টুইস্টার	twister
টাইপিস্ট	typist
আল্ট্রা	ultra
আপস্টার্ট	upstart
ভাইকিং	viking
ভোকালিস্ট	vocalist
সেকুলার	secular
টাউট	tout
টিপাই	teapoy
লিঙ্কনশায়ার	lincolnshire
লিংকনশায়ার	lincolnshire
ডুয়ার্স	dooars
ভিসি	vc
বিজেপি	bjp
চুরুট	cheroot
প্যান্ডেল	pandal
সাফারি	safari
সাইকেল	cycle
খ্রিস্ট	christ
জনসন	johnson
মিউজিয়াম	museum
ফিল্মি	filmy
ফুয়েল	fuel
কস্ট	cost
রাইয়ান	ryan
ডজন	dozen
মোটরসাইকেল	motorcycle
চিজ	cheese
জেব্রা	zebra
লজেন্স	lozenge
আরামকেদারা	armchair
ট্রান্সনিস্ট্রিয়া	transnistria
মিউনিখ	munich
প্ল্যাটিনাম	platinum
স্টার	star
জেটি	jetty
সিং	singh
মিস্টার	mister
ক্রিস্টি	christie
ফার্স্ট	first
স্টিং	sting
হাউজিং	housing
নার্সিং	nursing
গ্রেড	grade
স্কাউটমাস্টার	scoutmaster
প্লেট	plate
স্টাইল	style
ক্রাইস্ট	christ
লিস্টার	lister
শিপ	ship
শিপিং	shipping
শুটার	shooter
লিভিংস্টোন	livingstone
ডার্লিং	darling
স্প্রিংগার	springer
বেজিং	beijing
প্রেস্টিজ	prestige
প্রাইড	pride
স্লাভিক	slavic
প্রিন্সিপালিটি	principality
ইউক্লিড	euclid
লোড	load
ইভনিং	evening
থ্রাস্টার	thruster
পিকিং	peking
মেট্রিক্স	metrics
হেরিং	herring
প্রাইমেট	primate
সেন্স	sense
মিডউইন্টার	midwinter
গ্রুম	groom
রেলিং	railing
প্রুফ	proof
বেস্টসেলার	bestseller
সিস্টেমিক	systemic
ফেটিশ	fetish
রিট্রিট	retreat
স্টেকহোল্ডার	stakeholder
মোটিভ	motive
গার্টার	garter
স্প্রাউট	sprout
কিংফিশার	kingfisher
পোল	poll
সেন্সিবিলিটি	sensibility
নেটস্কেপ	netscape
কার্স্ট	karst
লিটারারি	literary
ফাইবারগ্লাস	fiberglass
ডিফেন্ড	defend
রিস্ট	wrist
সুপারঅক্সাইড	superoxide
ক্রেট	crate
নোটারি	notary
ওল্ডফিল্ড	oldfield
ব্লাফ	bluff
মার্টিনিক	martinique
সিস্টোলিক	systolic
ভিক্টর	victor
কম্পোস্ট	compost
ডিবেট	debate
ইলাস্ট্রেটর	illustrator
ক্রোমাটোগ্রাফি	chromatography
পেনশন	pension
ইলাস্ট্রেশন	illustration
রিক্রুট	recruit
টেম্পল	temple
অকল্যান্ড	auckland
অপারেট	operate
পিটার	peter
ইব্রাহিম	ibrahim
ভুটান	bhutan
উইনচেস্টার	winchester
বাটারফ্লাই	butterfly
ট্রান্সমিট	transmit
স্কেল	scale
প্রাইমটাইম	primetime
বাস্টার	buster
আরভিং	irving
জিমি	jimmy
ক্রিসমাস	christmas
স্প্রে	spray
শেফিল্ড	sheffield
ট্রাস্টি	trustee
ট্রাস্টিজ	trustees
শিলিং	shilling
ফ্লার্ট	flirt
স্ট্রেইট	straight
স্ট্রেইট	strait
বার্মিংহাম	birmingham
ট্রাঙ্ক	trunk
এভারলাস্টিং	everlasting
তাজিকিস্তান	tajikistan
প্লাটুন	platoon
স্কুলমাস্টার	schoolmaster
ট্রাইমিস্টার	trimester
টাটার	tatar
ভিজিট	visit
ক্রেইগ	craig
জিহাদি	jihadi
প্রিভেন্টিভ	preventive
রাইনোপ্লাস্টি	rhinoplasty
স্পিনস্টার	spinster
রোডস্টার	roadster
স্কেটবোর্ড	skateboard
টাস্কমাস্টার	taskmaster
ড্যাশ	dash
সুইচ	switch
ক্লারা	clara
ব্রুকস	brooks
টোস্টার	toaster
প্রাগ	prague
ঘোস্ট	ghost
ফস্টার	foster
ইনব্রিডিং	inbreeding
ডাস্টার	duster
ব্লিস্টার	blister
সিনিস্টার	sinister
ইনস্টিংক্ট	instinct
ইমপোস্টার	impostor
রুস্টার	rooster
ড্রিফট	drift
সিস্টিক	cystic
স্কেলার	scalar
জিবুতি	djibouti
মিনস্টার	minster
স্ক্রাব	scrub
আন্ডাররাইটিং	underwriting
স্পোর	spore
টোস্ট	toast
স্কোরার	scorer
লাস্টার	luster
টারজান	tarzan
জিপসি	gypsy
চার্টিস্ট	chartist
টেকওভার	takeover
টেডি	teddy
ফিটার	fitter
ব্রুমস্টিক	broomstick
স্কিইং	skiing
ক্রিশ্চান	christian
বেনজিন	benzene
বেনজিন	benzine
স্ফিংক্স	sphinx
সাবজেক্টিভিটি	subjectivity
আফটারগ্লো	afterglow
হিচহাইকিং	hitchhiking
কাম্পালা	kampala
ব্র্যান্ড	brand
কালেক্ট	collect
সেন্ডার	sender
ব্রিজটাউন	bridgetown
মাটিল্ডা	matilda
স্পেন্স	spence
ইনডাকটিভ	inductive
প্রেস্টো	presto
ভিডিওগ্রাফার	videographer
মেইল	mail
প্রিস্কুল	preschool
র‍্যাঙ্ক	rank
গ্লাইসিন	glycine
নেমাটোড	nematode
এথনিসিটি	ethnicity
হোলিস্টিক	holistic
হাইড্রোক্সি	hydroxy
লাইফসেভিং	lifesaving
প্রোটেস্ট	protest
মার্টিনি	martini
জগার	jogger
লাইফবোট	lifeboat
এপিআই	api
সিপিইউ	cpu
জিপিইউ	gpu
ইউএসবি	usb
এইচটিএমএল	html
সিএসএস	css
জাভাস্ক্রিপ্ট	javascript
টাইপস্ক্রিপ্ট	typescript
রাস্ট	rust
ডকার	docker
কুবারনেটিস	kubernetes
লিন্ট	lint
লিন্টার	linter
কম্পাইল	compile
কম্পাইলার	compiler
কম্পাইলেশন	compilation
রানটাইম	runtime
ফাংশন	function
ভ্যারিয়েবল	variable
অবজেক্ট	object
মেথড	method
ইন্টারফেস	interface
ইমপ্লিমেন্ট	implement
ইমপ্লিমেন্টেশন	implementation
ডিপ্লয়	deploy
ডিপ্লয়মেন্ট	deployment
বিল্ড	build
টেস্ট	test
টেস্টকেস	testcase
বাগ	bug
ফিক্স	fix
প্যাচ	patch
ব্রাঞ্চ	branch
কমিট	commit
মার্জ	merge
রিপো	repo
কনসোল	console
কমান্ড	command
প্রোটোকল	protocol
প্যাকেট	packet
সকেট	socket
ফায়ারওয়াল	firewall
ডিএনএস	dns
এইচটিটিপি	http
এইচটিটিপিএস	https
ইউআরএল	url
ইউআই	ui
ইউএক্স	ux
ড্যাশবোর্ড	dashboard
পাইপলাইন	pipeline
কন্টেইনার	container
কার্নেল	kernel
ডিস্ট্রো	distro
ভার্সন	version
লগার	logger
লেভেল	level
সিগন্যাল	signal
প্রসেস	process
সার্ভিস	service
ক্লায়েন্ট	client
টোকেন	token
অথেন্টিকেশন	authentication
অথরাইজেশন	authorization
পাসকি	passkey
ওটিপি	otp
ক্যাপচা	captcha
এন্ডপয়েন্ট	endpoint
রিসোর্স	resource
রিকোয়েস্ট	request
রেসপন্স	response
কুয়েরি	query
স্কিমা	schema
মাইগ্রেশন	migration
ইনডেক্স	index
নোড	node
রিঅ্যাক্ট	react
আইওএস	ios
ম্যাক	mac
ম্যাকওএস	macos
আইফোন	iphone
আইপ্যাড	ipad
ওয়াসম	wasm
ওয়েবঅ্যাসেম্বলি	webassembly
ডেটাসেট	dataset
লেক্সিকন	lexicon
অটোকরেক্ট	autocorrect
অটোকারেকশন	autocorrection
ট্রান্সলিটারেশন	transliteration
ট্রান্সলিটারেট	transliterate
ইউনিকোড	unicode
কার্গো	cargo
এনপিএম	npm
ভিট	vite
বান্ডল	bundle
বান্ডলার	bundler
ডক	doc
ডকস	docs
পিডিএফ	pdf
প্রেজেন্টেশন	presentation
নিউজলেটার	newsletter
পডকাস্ট	podcast
ভ্লগ	vlog
লাইভ	live
লাইভস্ট্রিম	livestream
কনটেন্ট	content
ক্রিয়েটর	creator
ইনফ্লুয়েন্সার	influencer
কমেন্ট	comment
লাইক	like
শেয়ার	share
ফলো	follow
ফলোয়ার	follower
ফিড	feed
স্ট্যাটাস	status
স্টোরি	story
রিল	reel
রিলস	reels
মিম	meme
জিআইএফ	gif
ফন্ট	font
টাইপফেস	typeface
লেআউট	layout
ডিজাইন	design
ডিজাইনার	designer
গ্রিড	grid
থিম	theme
মোড	mode
ডার্কমোড	darkmode
ড্রাফট	draft
পাবলিশ	publish
পেমেন্ট	payment
ইনভয়েস	invoice
রিসিপ্ট	receipt
ডেবিট	debit
কারেন্সি	currency
ট্রানজ্যাকশন	transaction
ব্যালেন্স	balance
ডিপোজিট	deposit
উইথড্র	withdraw
উইথড্রয়াল	withdrawal
স্যালারি	salary
বিজনেস	business
কর্পোরেট	corporate
ক্যাশিয়ার	cashier
অডিট	audit
ফান্ড	fund
গ্রান্ট	grant
প্রফিট	profit
লস	loss
ইকুইটি	equity
অ্যাসেট	asset
লায়াবিলিটি	liability
ইনস্যুরেন্স	insurance
প্রিমিয়াম	premium
ইএমআই	emi
স্টুডেন্ট	student
টিচার	teacher
প্রফেসর	professor
লেকচারার	lecturer
সাবজেক্ট	subject
চ্যাপ্টার	chapter
টপিক	topic
নোট	note
নোটস	notes
কুইজ	quiz
মার্ক	mark
স্কলারশিপ	scholarship
ফেলোশিপ	fellowship
থিসিস	thesis
রিসার্চ	research
ল্যাব	lab
জার্নাল	journal
কনফারেন্স	conference
ওয়ার্কশপ	workshop
টিউশন	tuition
টিউটর	tutor
অ্যাম্বুলেন্স	ambulance
ফার্মেসি	pharmacy
ডায়াবেটিস	diabetes
ডায়াগনোসিস	diagnosis
থেরাপি	therapy
সিরাপ	syrup
ইনজুরি	injury
ট্রমা	trauma
সার্জন	surgeon
নার্স	nurse
পেশেন্ট	patient
পালস	pulse
ব্লাড	blood
স্ক্যান	scan
এমআরআই	mri
সিটিস্ক্যান	ctscan
এক্সরে	xray
আইসিইউ	icu
ইমার্জেন্সি	emergency
অ্যানেস্থেশিয়া	anesthesia
স্টেরয়েড	steroid
মাস্ক	mask
স্যানিটাইজার	sanitizer
ডেন্টাল	dental
ডেন্টিস্ট	dentist
নিউরন	neuron
নিউরোলজি	neurology
প্যাথলজি	pathology
ভাইরাল	viral
স্যান্ডউইচ	sandwich
পাস্তা	pasta
নুডলস	noodles
বারবিকিউ	barbecue
কেচাপ	ketchup
মেয়োনিজ	mayonnaise
সিরিয়াল	cereal
ওটস	oats
কর্নফ্লেক্স	cornflakes
স্ন্যাক	snack
ডিনার	dinner
ডেজার্ট	dessert
আইসক্রিম	icecream
চিপস	chips
কোক	coke
সোডা	soda
জুস	juice
ক্যাফে	cafe
এয়ারপোর্ট	airport
এয়ারলাইন	airline
ফ্লাইট	flight
পাইলট	pilot
বাইক	bike
মোটরবাইক	motorbike
স্টপ	stop
ব্রিজ	bridge
টানেল	tunnel
হাইওয়ে	highway
রোড	road
লেন	lane
ফ্লাইওভার	flyover
এস্কেলেটর	escalator
বেড	bed
কাপ	cup
বোতল	bottle
শাওয়ার	shower
টয়লেট	toilet
সোয়েটার	sweater
টিশার্ট	tshirt
প্যান্ট	pant
স্যুট	suit
টাই	tie
বুট	boot
স্যান্ডেল	sandal
ক্যাপ	cap
বেল্ট	belt
ইউনিফর্ম	uniform
জার্সি	jersey
ডেমোক্রেসি	democracy
ডেমোক্র্যাট	democrat
রিপাবলিক	republic
পার্লামেন্ট	parliament
ক্যাবিনেট	cabinet
কমিটি	committee
মিটিং	meeting
এজেন্ডা	agenda
মিনিটস	minutes
প্রপোজাল	proposal
ডিল	deal
কেস	case
লিগ্যাল	legal
লয়ার	lawyer
জুরি	jury
অ্যাডভোকেট	advocate
আপিল	appeal
ওয়ারেন্ট	warrant
কমপ্লেইন	complaint
বায়োলজি	biology
জুলজি	zoology
বটানি	botany
ম্যাথ	math
ম্যাথেমেটিক্স	mathematics
স্ট্যাটিসটিক্স	statistics
জিওমেট্রি	geometry
অ্যালজেব্রা	algebra
ক্যালকুলাস	calculus
ফর্মুলা	formula
থিওরি	theory
এক্সপেরিমেন্ট	experiment
স্যাম্পল	sample
স্পেসিমেন	specimen
মলিকিউল	molecule
আয়ন	ion
আইসোটোপ	isotope
এনার্জি	energy
গ্র্যাভিটি	gravity
ফোর্স	force
মাস	mass
ভলিউম	volume
ডেনসিটি	density
টেম্পারেচার	temperature
হিট	heat
লাইট	light
সাউন্ড	sound
ওয়েভ	wave
ফ্রিকোয়েন্সি	frequency
স্পেকট্রাম	spectrum
উইকেট	wicket
ব্যাট	bat
ব্যাটসম্যান	batsman
বোলার	bowler
রান	run
ওভার	over
ক্যাচ	catch
কোচ	coach
রেফারি	referee
ক্যাপ্টেন	captain
ট্রফি	trophy
মেডেল	medal
ফাইনাল	final
সেমিফাইনাল	semifinal
কোয়ার্টারফাইনাল	quarterfinal
রাউন্ড	round
ড্রাম	drum
ভায়োলিন	violin
ফ্লুট	flute
কনসার্ট	concert
ব্যান্ড	band
সিঙ্গেল	single
ট্র্যাক	track
কাতার	qatar
দুবাই	dubai
ওমান	oman
কুয়েত	kuwait
ইরাক	iraq
সৌদি	saudi
রিয়াদ	riyadh
দোহা	doha
আবুধাবি	abudhabi
মরক্কো	morocco
নেপাল	nepal
তিব্বত	tibet
ভিয়েতনাম	vietnam
কম্বোডিয়া	cambodia
লাওস	laos
মঙ্গোলিয়া	mongolia
ফ্রান্স	france
ইতালি	italy
পর্তুগাল	portugal
নরওয়ে	norway
সুইডেন	sweden
ডেনমার্ক	denmark
পোল্যান্ড	poland
বেরুত	beirut
মাইকেল	michael
ড্যানিয়েল	daniel
রিচার্ড	richard
রবার্ট	robert
জোসেফ	joseph
থমাস	thomas
ম্যাথিউ	matthew
লুক	luke
পল	paul
জর্জ	george
হেনরি	henry
এডওয়ার্ড	edward
আর্থার	arthur
চার্লি	charlie
অলিভার	oliver
এমা	emma
সোফিয়া	sophia
অলিভিয়া	olivia
মিয়া	mia
এলা	ella
এভা	ava
গ্রেস	grace
লুসি	lucy
লিলি	lily
রোজ	rose
সারা	sarah
লরা	laura
মেরি	mary
কেট	kate
জেন	jane
ডেট	date
ড্রেস	dress
এনকোড	encode
হাইক	hike
হোস্ট	host
প্রোফাইল	profile
পাম্প	pump
রাউট	route
সার্চ	search
স্মোক	smoke
ট্রেক	trek
টাইপ	type
ভোট	vote
ডাম্প	dump
ইন্টারপ্রেট	interpret
জাম্প	jump
পুল	pool
রেন্ডার	render
স্পার্ক	spark
ব্রিড	breed
ক্যাটার	cater
পিল	peel
ওভারল্যাপ	overlap
সুপারকম্পিউটার	supercomputer
টিজ	tease
স্টাম্প	stump
প্রুফরিড	proofread
স্কাইডাইভ	skydive
বিট	beat
সেল	sell
স্টেপ	step
ফেড	fade
গ্রিপ	grip
নাম্বার	number
প্রিচ	preach
স্পার	spar
